mode;prompt_type;id;prompt;p1_sex;p2_sex;p1_prompt;p2_prompt
medium;all;24;A close shot of <|woman_1|> and <|man_1|> jumping up, with their backs to each other, both laughing, in a dense forest, Ultra HD quality.;woman;man;A close shot of <|woman_1|> jumping up, laughing.;A close shot of <|man_1|> jumping up, laughing.
medium;all;25;A long shot of <|woman_1|> and <|man_1|> jumping up, the woman is jumping up slightly ahead of the man, both looking cheerful, on a serene beach, Ultra HD quality.;woman;man;A long shot of <|woman_1|> jumping up, looking cheerful.;A long shot of <|man_1|> jumping up, looking cheerful.
medium;all;26;A high angle shot of <|man_1|> and <|woman_1|> jumping up, in sync, both smiling with excitement, in a remote valley, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> jumping up, smiling with excitement.;A high angle shot of <|woman_1|> jumping up, smiling with excitement.
medium;all;27;A low angle shot of <|man_1|> and <|woman_1|> jumping up, jumping up towards the sky, eyes wide with joy, on a tropical beach, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> jumping up, eyes wide with joy.;A low angle shot of <|woman_1|> jumping up, eyes wide with joy.
medium;all;28;A close shot of <|man_1|> and <|woman_1|> checking the time on their wristwatch, standing side by side, the man looking impatient while the woman looks surprised, in a modern conference room, Ultra HD quality.;man;woman;A close shot of <|man_1|> checking the time on his wristwatch, looking impatient.;A close shot of <|woman_1|> checking the time on her wristwatch, looks surprised.
medium;all;29;A long shot of <|man_1|> and <|woman_1|> checking the time on their wristwatch, standing apart, with focused expressions, in a European town square, Ultra HD quality.;man;woman;A long shot of <|man_1|> checking the time on his wristwatch, with focused expressions.;A long shot of <|woman_1|> checking the time on her wristwatch, with focused expressions.
medium;all;30;A high angle shot of <|woman_1|> and <|man_1|> checking the time on their wristwatch, the woman is positioned at an angle in front of the man, the woman looking frustrated while the man looks relaxed, in a modern office, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> checking the time on her wristwatch, looking frustrated.;A high angle shot of <|man_1|> checking the time on his wristwatch, looks relaxed.
medium;all;31;A low angle shot of <|woman_1|> and <|man_1|> checking the time on their wristwatch, standing back-to-back, looking slightly concerned, in a rustic café with wooden walls, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> checking the time on her wristwatch, looking slightly concerned.;A low angle shot of <|man_1|> checking the time on his wristwatch, looking slightly concerned.
medium;all;32;A close shot of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, the woman is standing right next to the man, looking serious, on a quiet city street, Ultra HD quality.;woman;man;A close shot of <|woman_1|> crossing her hands in front of her chest, looking serious.;A close shot of <|man_1|> crossing his hands in front of his chest, looking serious.
medium;all;33;A long shot of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, the woman is following behind the man, the woman looking thoughtful while the man looks skeptical, on a steep city street, Ultra HD quality.;woman;man;A long shot of <|woman_1|> crossing her hands in front of her chest, looking thoughtful.;A long shot of <|man_1|> crossing his hands in front of his chest, looks skeptical.
medium;all;34;A high angle shot of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, the man is diagonally to the rear of the woman, the man looking confident while the woman looks unsure, in a serene rose garden, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> crossing his hands in front of his chest, looking confident .;A high angle shot of <|woman_1|> crossing her hands in front of her chest, looks unsure.
medium;all;35;A low angle shot of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, the man and the woman are standing across from each other, both looking determined, in a sunlit pasture, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> crossing his hands in front of his chest, looking determined.;A low angle shot of <|woman_1|> crossing her hands in front of her chest, looking determined.
medium;all;36;A close shot of <|man_1|> and <|woman_1|> kneeling on the ground, the man is slightly ahead of the woman, the man looking determined while the woman looks thoughtful, on a colorful basketball court, Ultra HD quality.;man;woman;A close shot of <|man_1|> kneeling on the ground, looking determined.;A close shot of <|woman_1|> kneeling on the ground, looks thoughtful.
medium;all;37;A long shot of <|man_1|> and <|woman_1|> kneeling on the ground, in a symmetrical position, both with serious expressions, in a reading room, Ultra HD quality.;man;woman;A long shot of <|man_1|> kneeling on the ground, with serious expressions.;A long shot of <|woman_1|> kneeling on the ground, with serious expressions.
medium;all;38;A high angle shot of <|woman_1|> and <|man_1|> kneeling on the ground, facing each other, the woman looking excited while the man looks slightly amused, in a cozy living room, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> kneeling on the ground, looking excited.;A high angle shot of <|man_1|> kneeling on the ground, looks slightly amused.
medium;all;39;A low angle shot of <|woman_1|> and <|man_1|> kneeling on the ground, the woman is on the left side and the man is on the right side, the woman looking worried while the man looks focused, in a modern living room, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> kneeling on the ground, looking worried.;A low angle shot of <|man_1|> kneeling on the ground, looks focused.
medium;all;40;A close shot of <|woman_1|> and <|man_1|> squatting down, side by side, facing the same direction, both looking focused, in a stone-paved alley, Ultra HD quality.;woman;man;A close shot of <|woman_1|> squatting down, looking focused.;A close shot of <|man_1|> squatting down, looking focused.
medium;all;41;A long shot of <|woman_1|> and <|man_1|> squatting down, the woman is standing diagonally in front of the man, both looking curious, in an open green park, Ultra HD quality.;woman;man;A long shot of <|woman_1|> squatting down, looking curious.;A long shot of <|man_1|> squatting down, looking curious.
medium;all;42;A high angle shot of <|man_1|> and <|woman_1|> squatting down, facing each other, with the man looking shy and the woman looking confident, in an open square, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> squatting down, looking shy.;A high angle shot of <|woman_1|> squatting down, looking confident.
medium;all;43;A low angle shot of <|man_1|> and <|woman_1|> squatting down, both looking slightly upward, with excited expressions, in a dense forest, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> squatting down, with excited expressions.;A low angle shot of <|woman_1|> squatting down, with excited expressions.
medium;all;44;A close shot of <|man_1|> and <|woman_1|> throwing a punch toward the camera, the man is kitty-corner from the woman, both looking determined , on a serene beach, Ultra HD quality.;man;woman;A close shot of <|man_1|> throwing a punch toward the camera, looking determined .;A close shot of <|woman_1|> throwing a punch toward the camera, looking determined .
medium;all;45;A long shot of <|man_1|> and <|woman_1|> throwing a punch toward the camera, the man on the left side and the woman on the right side of the veiwer, with focused eyes, in a remote valley, Ultra HD quality.;man;woman;A long shot of <|man_1|> throwing a punch toward the camera, with focused eyes.;A long shot of <|woman_1|> throwing a punch toward the camera, with focused eyes.
medium;all;46;A high angle shot of <|woman_1|> and <|man_1|> throwing a punch toward the camera, the woman is standing behind the man, the woman looking fierce while the man looks playful, on a boat, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> throwing a punch toward the camera, looking fierce.;A high angle shot of <|man_1|> throwing a punch toward the camera, looks playful.
medium;all;47;A low angle shot of <|woman_1|> and <|man_1|> throwing a punch toward the camera, facing each other, both with serious expressions, on a tropical beach, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> throwing a punch toward the camera, with serious expressions.;A low angle shot of <|man_1|> throwing a punch toward the camera, with serious expressions.
medium;all;48;A close shot of <|woman_1|> and <|man_1|> shrugging their shoulders, standing apart, looking confused, in a modern conference room, Ultra HD quality.;woman;man;A close shot of <|woman_1|> shrugging her shoulders, looking confused.;A close shot of <|man_1|> shrugging her shoulders, looking confused.
medium;all;49;A long shot of <|woman_1|> and <|man_1|> shrugging their shoulders, the woman is slightly ahead of the man, both facing the same direction, looking uncertain, in a European town square, Ultra HD quality.;woman;man;A long shot of <|woman_1|> shrugging her shoulders, looking uncertain.;A long shot of <|man_1|> shrugging his shoulders, looking uncertain.
medium;all;50;A high angle shot of <|man_1|> and <|woman_1|> shrugging their shoulders, looking up at the camera, both with puzzled expressions, in a modern office, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> shrugging his shoulders, with puzzled expressions.;A high angle shot of <|woman_1|> shrugging her shoulders, with puzzled expressions.
medium;all;51;A low angle shot of <|man_1|> and <|woman_1|> shrugging their shoulders, the man is in front of the woman, the man looking amused while the woman looks unsure, in a rustic café with wooden walls, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> shrugging his shoulders, looking amused.;A low angle shot of <|woman_1|> shrugging her shoulders, looks unsure.
medium;action+layout;0;A close shot of <|woman_1|> and <|man_1|> standing, standing side by side, facing the same direction, Ultra HD quality.;woman;man;A close shot of <|woman_1|> standing.;A close shot of <|man_1|> standing.
medium;action+layout;1;A long shot of <|woman_1|> and <|man_1|> standing, the woman is standing to the right of the man, Ultra HD quality.;woman;man;A long shot of <|woman_1|> standing.;A long shot of <|man_1|> standing.
medium;action+layout;2;A high angle shot of <|man_1|> and <|woman_1|> standing, the man is standing slightly ahead of the woman, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> standing.;A high angle shot of <|woman_1|> standing.
medium;action+layout;3;A low angle shot of <|man_1|> and <|woman_1|> standing, the man is standing diagonally in front of the woman, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> standing.;A low angle shot of <|woman_1|> standing.
medium;action+layout;4;A close shot of <|man_1|> and <|woman_1|> walking, with a bit of space between them, Ultra HD quality.;man;woman;A close shot of <|man_1|> walking.;A close shot of <|woman_1|> walking.
medium;action+layout;5;A long shot of <|man_1|> and <|woman_1|> walking, walking apart from each other, Ultra HD quality.;man;woman;A long shot of <|man_1|> walking.;A long shot of <|woman_1|> walking.
medium;action+layout;6;A high angle shot of <|woman_1|> and <|man_1|> walking, next to each other with synchronized steps, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> walking.;A high angle shot of <|man_1|> walking.
medium;action+layout;7;A low angle shot of <|woman_1|> and <|man_1|> walking, the woman is leading the way while the man follows behind, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> walking.;A low angle shot of <|man_1|> walking.
medium;action+layout;8;A close shot of <|woman_1|> and <|man_1|> running, the womanis running slightly ahead of the man, Ultra HD quality.;woman;man;A close shot of <|woman_1|> running.;A close shot of <|man_1|> running.
medium;action+layout;9;A long shot of <|woman_1|> and <|man_1|> running, running side by side at the same pace, Ultra HD quality.;woman;man;A long shot of <|woman_1|> running.;A long shot of <|man_1|> running.
medium;action+layout;10;A high angle shot of <|man_1|> and <|woman_1|> running, running past each other, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> running.;A high angle shot of <|woman_1|> running.
medium;action+layout;11;A low angle shot of <|man_1|> and <|woman_1|> running, the man is running at an angle behind the woman, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> running.;A low angle shot of <|woman_1|> running.
medium;action+layout;12;A close shot of <|man_1|> and <|woman_1|> waving their hand, the man is standing in front of the woman, Ultra HD quality.;man;woman;A close shot of <|man_1|> waving his hand.;A close shot of <|woman_1|> waving her hand.
medium;action+layout;13;A long shot of <|man_1|> and <|woman_1|> waving their hand, the man is in front of the woman, slightly to the side, Ultra HD quality.;man;woman;A long shot of <|man_1|> waving his hand.;A long shot of <|woman_1|> waving her hand.
medium;action+layout;14;A high angle shot of <|woman_1|> and <|man_1|> waving their hand, from a distance, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> waving her hand.;A high angle shot of <|man_1|> waving his hand.
medium;action+layout;15;A low angle shot of <|woman_1|> and <|man_1|> waving their hand, standing within arm’s reach, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> waving her hand.;A low angle shot of <|man_1|> waving his hand.
medium;action+layout;16;A close shot of <|woman_1|> and <|man_1|> clapping, standing side by side, Ultra HD quality.;woman;man;A close shot of <|woman_1|> clapping.;A close shot of <|man_1|> clapping.
medium;action+layout;17;A long shot of <|woman_1|> and <|man_1|> clapping, the woman is looking at the man, Ultra HD quality.;woman;man;A long shot of <|woman_1|> clapping.;A long shot of <|man_1|> clapping.
medium;action+layout;18;A high angle shot of <|man_1|> and <|woman_1|> clapping, the man is standing diagonally behind the woman, facing each other, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> clapping.;A high angle shot of <|woman_1|> clapping.
medium;action+layout;19;A low angle shot of <|man_1|> and <|woman_1|> clapping, with their backs to each other, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> clapping.;A low angle shot of <|woman_1|> clapping.
medium;action+layout;20;A close shot of <|man_1|> and <|woman_1|> putting their hands in their pockets, standing side by side, Ultra HD quality.;man;woman;A close shot of <|man_1|> putting his hands in his pockets.;A close shot of <|woman_1|> putting her hands in her pockets.
medium;action+layout;21;A long shot of <|man_1|> and <|woman_1|> putting their hands in their pockets, standing across from each other, Ultra HD quality.;man;woman;A long shot of <|man_1|> putting his hands in his pockets.;A long shot of <|woman_1|> putting her hands in her pockets.
medium;action+layout;22;A high angle shot of <|woman_1|> and <|man_1|> putting their hands in their pockets, the woman is following behind the man, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> putting her hands in her pockets.;A high angle shot of <|man_1|> putting his hands in his pockets.
medium;action+layout;23;A low angle shot of <|woman_1|> and <|man_1|> putting their hands in their pockets, the woman is on the left side and the man on the right side, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> putting her hands in her pockets.;A low angle shot of <|man_1|> putting his hands in his pockets.
medium;action+layout;24;A close shot of <|woman_1|> and <|man_1|> jumping up, with their backs to each other, Ultra HD quality.;woman;man;A close shot of <|woman_1|> jumping up.;A close shot of <|man_1|> jumping up.
medium;action+layout;25;A long shot of <|woman_1|> and <|man_1|> jumping up, the woman is jumping up slightly ahead of the man, Ultra HD quality.;woman;man;A long shot of <|woman_1|> jumping up.;A long shot of <|man_1|> jumping up.
medium;action+layout;26;A high angle shot of <|man_1|> and <|woman_1|> jumping up, in sync, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> jumping up.;A high angle shot of <|woman_1|> jumping up.
medium;action+layout;27;A low angle shot of <|man_1|> and <|woman_1|> jumping up, jumping up towards the sky, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> jumping up.;A low angle shot of <|woman_1|> jumping up.
medium;action+layout;28;A close shot of <|man_1|> and <|woman_1|> checking the time on their wristwatch, standing side by side, Ultra HD quality.;man;woman;A close shot of <|man_1|> checking the time on his wristwatch.;A close shot of <|woman_1|> checking the time on her wristwatch.
medium;action+layout;29;A long shot of <|man_1|> and <|woman_1|> checking the time on their wristwatch, standing apart, Ultra HD quality.;man;woman;A long shot of <|man_1|> checking the time on his wristwatch.;A long shot of <|woman_1|> checking the time on her wristwatch.
medium;action+layout;30;A high angle shot of <|woman_1|> and <|man_1|> checking the time on their wristwatch, the woman is positioned at an angle in front of the man, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> checking the time on her wristwatch.;A high angle shot of <|man_1|> checking the time on his wristwatch.
medium;action+layout;31;A low angle shot of <|woman_1|> and <|man_1|> checking the time on their wristwatch, standing back-to-back, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> checking the time on her wristwatch.;A low angle shot of <|man_1|> checking the time on his wristwatch.
medium;action+layout;32;A close shot of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, the woman is standing right next to the man, Ultra HD quality.;woman;man;A close shot of <|woman_1|> crossing her hands in front of her chest.;A close shot of <|man_1|> crossing his hands in front of his chest.
medium;action+layout;33;A long shot of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, the woman is following behind the man, Ultra HD quality.;woman;man;A long shot of <|woman_1|> crossing her hands in front of her chest.;A long shot of <|man_1|> crossing his hands in front of his chest.
medium;action+layout;34;A high angle shot of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, the man is diagonally to the rear of the woman, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> crossing his hands in front of his chest.;A high angle shot of <|woman_1|> crossing her hands in front of her chest.
medium;action+layout;35;A low angle shot of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, the man and the woman are standing across from each other, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> crossing his hands in front of his chest.;A low angle shot of <|woman_1|> crossing her hands in front of her chest.
medium;action+layout;36;A close shot of <|man_1|> and <|woman_1|> kneeling on the ground, the man is slightly ahead of the woman, Ultra HD quality.;man;woman;A close shot of <|man_1|> kneeling on the ground.;A close shot of <|woman_1|> kneeling on the ground.
medium;action+layout;37;A long shot of <|man_1|> and <|woman_1|> kneeling on the ground, in a symmetrical position, Ultra HD quality.;man;woman;A long shot of <|man_1|> kneeling on the ground.;A long shot of <|woman_1|> kneeling on the ground.
medium;action+layout;38;A high angle shot of <|woman_1|> and <|man_1|> kneeling on the ground, facing each other, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> kneeling on the ground.;A high angle shot of <|man_1|> kneeling on the ground.
medium;action+layout;39;A low angle shot of <|woman_1|> and <|man_1|> kneeling on the ground, the woman is on the left side and the man is on the right side, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> kneeling on the ground.;A low angle shot of <|man_1|> kneeling on the ground.
medium;action+layout;40;A close shot of <|woman_1|> and <|man_1|> squatting down, side by side, facing the same direction, Ultra HD quality.;woman;man;A close shot of <|woman_1|> squatting down.;A close shot of <|man_1|> squatting down.
medium;action+layout;41;A long shot of <|woman_1|> and <|man_1|> squatting down, the woman is standing diagonally in front of the man, Ultra HD quality.;woman;man;A long shot of <|woman_1|> squatting down.;A long shot of <|man_1|> squatting down.
medium;action+layout;42;A high angle shot of <|man_1|> and <|woman_1|> squatting down, facing each other, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> squatting down.;A high angle shot of <|woman_1|> squatting down.
medium;action+layout;43;A low angle shot of <|man_1|> and <|woman_1|> squatting down, both looking slightly upward, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> squatting down.;A low angle shot of <|woman_1|> squatting down.
medium;action+layout;44;A close shot of <|man_1|> and <|woman_1|> throwing a punch toward the camera, the man is kitty-corner from the woman, Ultra HD quality.;man;woman;A close shot of <|man_1|> throwing a punch toward the camera.;A close shot of <|woman_1|> throwing a punch toward the camera.
medium;action+layout;45;A long shot of <|man_1|> and <|woman_1|> throwing a punch toward the camera, the man on the left side and the woman on the right side of the veiwer, Ultra HD quality.;man;woman;A long shot of <|man_1|> throwing a punch toward the camera.;A long shot of <|woman_1|> throwing a punch toward the camera.
medium;action+layout;46;A high angle shot of <|woman_1|> and <|man_1|> throwing a punch toward the camera, the woman is standing behind the man, Ultra HD quality.;woman;man;A high angle shot of <|woman_1|> throwing a punch toward the camera.;A high angle shot of <|man_1|> throwing a punch toward the camera.
medium;action+layout;47;A low angle shot of <|woman_1|> and <|man_1|> throwing a punch toward the camera, facing each other, Ultra HD quality.;woman;man;A low angle shot of <|woman_1|> throwing a punch toward the camera.;A low angle shot of <|man_1|> throwing a punch toward the camera.
medium;action+layout;48;A close shot of <|woman_1|> and <|man_1|> shrugging their shoulders, standing apart, Ultra HD quality.;woman;man;A close shot of <|woman_1|> shrugging her shoulders.;A close shot of <|man_1|> shrugging her shoulders.
medium;action+layout;49;A long shot of <|woman_1|> and <|man_1|> shrugging their shoulders, the woman is slightly ahead of the man, both facing the same direction, Ultra HD quality.;woman;man;A long shot of <|woman_1|> shrugging her shoulders.;A long shot of <|man_1|> shrugging his shoulders.
medium;action+layout;50;A high angle shot of <|man_1|> and <|woman_1|> shrugging their shoulders, looking up at the camera, Ultra HD quality.;man;woman;A high angle shot of <|man_1|> shrugging his shoulders.;A high angle shot of <|woman_1|> shrugging her shoulders.
medium;action+layout;51;A low angle shot of <|man_1|> and <|woman_1|> shrugging their shoulders, the man is in front of the woman, Ultra HD quality.;man;woman;A low angle shot of <|man_1|> shrugging his shoulders.;A low angle shot of <|woman_1|> shrugging her shoulders.
medium;action+expression;0;A photo of <|woman_1|> and <|man_1|> standing, the woman with a neutral face, the man with a small smile, Ultra HD quality.;woman;man;A photo of <|woman_1|> standing, with a neutral face.;A photo of <|man_1|> standing, with a small smile.
medium;action+expression;1;A photo of <|woman_1|> and <|man_1|> standing, both with calm expressions, Ultra HD quality.;woman;man;A photo of <|woman_1|> standing, with calm expressions.;A photo of <|man_1|> standing, with calm expressions.
medium;action+expression;2;A photo of <|man_1|> and <|woman_1|> standing, the man looking focused while the woman looks slightly nervous, Ultra HD quality.;man;woman;A photo of <|man_1|> standing, looking focused.;A photo of <|woman_1|> standing, looks slightly nervous.
medium;action+expression;3;A photo of <|man_1|> and <|woman_1|> standing, the man having a serious expression while the woman looks hesitant, Ultra HD quality.;man;woman;A photo of <|man_1|> standing, having a serious expression.;A photo of <|woman_1|> standing, looks hesitant.
medium;action+expression;4;A photo of <|man_1|> and <|woman_1|> walking, the man with a friendly smile, the woman with a shy expression, Ultra HD quality.;man;woman;A photo of <|man_1|> walking, with a friendly smile.;A photo of <|woman_1|> walking, with a shy expression.
medium;action+expression;5;A photo of <|man_1|> and <|woman_1|> walking, the man looking disappointed while the woman looks deep in thought, Ultra HD quality.;man;woman;A photo of <|man_1|> walking, looking disappointed.;A photo of <|woman_1|> walking, looks deep in thought.
medium;action+expression;6;A photo of <|woman_1|> and <|man_1|> walking, both smiling slightly, Ultra HD quality.;woman;man;A photo of <|woman_1|> walking, smiling slightly.;A photo of <|man_1|> walking, smiling slightly.
medium;action+expression;7;A photo of <|woman_1|> and <|man_1|> walking, the woman with a determined look while the man with a relaxed face, Ultra HD quality.;woman;man;A photo of <|woman_1|> walking, with a determined look.;A photo of <|man_1|> walking, with a relaxed face.
medium;action+expression;8;A photo of <|woman_1|> and <|man_1|> running, both smiling with excitement, Ultra HD quality.;woman;man;A photo of <|woman_1|> running, smiling with excitement.;A photo of <|man_1|> running, smiling with excitement.
medium;action+expression;9;A photo of <|woman_1|> and <|man_1|> running, the woman looking competitive while the man looks cheerful, Ultra HD quality.;woman;man;A photo of <|woman_1|> running, looking competitive.;A photo of <|man_1|> running, looks cheerful.
medium;action+expression;10;A photo of <|man_1|> and <|woman_1|> running, both with surprised expressions, Ultra HD quality.;man;woman;A photo of <|man_1|> running, with surprised expressions.;A photo of <|woman_1|> running, with surprised expressions.
medium;action+expression;11;A photo of <|man_1|> and <|woman_1|> running, both with focused expressions, Ultra HD quality.;man;woman;A photo of <|man_1|> running, with focused expressions.;A photo of <|woman_1|> running, with focused expressions.
medium;action+expression;12;A photo of <|man_1|> and <|woman_1|> waving their hand, the man with a big smile while, the woman with a friendly expression, Ultra HD quality.;man;woman;A photo of <|man_1|> waving his hand, with a big smile.;A photo of <|woman_1|> waving her hand, with a friendly expression.
medium;action+expression;13;A photo of <|man_1|> and <|woman_1|> waving their hand, both with excited expressions, Ultra HD quality.;man;woman;A photo of <|man_1|> waving his hand, with excited expressions.;A photo of <|woman_1|> waving her hand, with excited expressions.
medium;action+expression;14;A photo of <|woman_1|> and <|man_1|> waving their hand, both with wide smiles, Ultra HD quality.;woman;man;A photo of <|woman_1|> waving her hand, with wide smiles.;A photo of <|man_1|> waving his hand, with wide smiles.
medium;action+expression;15;A photo of <|woman_1|> and <|man_1|> waving their hand, both with happy faces, Ultra HD quality.;woman;man;A photo of <|woman_1|> waving her hand, with happy faces.;A photo of <|man_1|> waving his hand, with happy faces.
medium;action+expression;16;A photo of <|woman_1|> and <|man_1|> clapping, both with joyful smiles, Ultra HD quality.;woman;man;A photo of <|woman_1|> clapping, with joyful smiles.;A photo of <|man_1|> clapping, with joyful smiles.
medium;action+expression;17;A photo of <|woman_1|> and <|man_1|> clapping, both looking excited, Ultra HD quality.;woman;man;A photo of <|woman_1|> clapping, looking excited.;A photo of <|man_1|> clapping, looking excited.
medium;action+expression;18;A photo of <|man_1|> and <|woman_1|> clapping, both with amused expressions, Ultra HD quality.;man;woman;A photo of <|man_1|> clapping, with amused expressions.;A photo of <|woman_1|> clapping, with amused expressions.
medium;action+expression;19;A photo of <|man_1|> and <|woman_1|> clapping, both with enthusiasm, Ultra HD quality.;man;woman;A photo of <|man_1|> clapping, with enthusiasm.;A photo of <|woman_1|> clapping, with enthusiasm.
medium;action+expression;20;A photo of <|man_1|> and <|woman_1|> putting their hands in their pockets, the man looking serious while the woman looks relaxed, Ultra HD quality.;man;woman;A photo of <|man_1|> putting his hands in his pockets, looking serious.;A photo of <|woman_1|> putting her hands in her pockets, looks relaxed.
medium;action+expression;21;A photo of <|man_1|> and <|woman_1|> putting their hands in their pockets, both with neutral faces, Ultra HD quality.;man;woman;A photo of <|man_1|> putting his hands in his pockets, with neutral faces.;A photo of <|woman_1|> putting her hands in her pockets, with neutral faces.
medium;action+expression;22;A photo of <|woman_1|> and <|man_1|> putting their hands in their pockets, the woman looking thoughtful while the man looks calm, Ultra HD quality.;woman;man;A photo of <|woman_1|> putting her hands in her pockets, looking thoughtful.;A photo of <|man_1|> putting his hands in his pockets, looks calm.
medium;action+expression;23;A photo of <|woman_1|> and <|man_1|> putting their hands in their pockets, both looking cool, Ultra HD quality.;woman;man;A photo of <|woman_1|> putting her hands in her pockets, looking cool.;A photo of <|man_1|> putting his hands in his pockets, looking cool.
medium;action+expression;24;A photo of <|woman_1|> and <|man_1|> jumping up, both laughing, Ultra HD quality.;woman;man;A photo of <|woman_1|> jumping up, laughing.;A photo of <|man_1|> jumping up, laughing.
medium;action+expression;25;A photo of <|woman_1|> and <|man_1|> jumping up, both looking cheerful, Ultra HD quality.;woman;man;A photo of <|woman_1|> jumping up, looking cheerful.;A photo of <|man_1|> jumping up, looking cheerful.
medium;action+expression;26;A photo of <|man_1|> and <|woman_1|> jumping up, both smiling with excitement, Ultra HD quality.;man;woman;A photo of <|man_1|> jumping up, smiling with excitement.;A photo of <|woman_1|> jumping up, smiling with excitement.
medium;action+expression;27;A photo of <|man_1|> and <|woman_1|> jumping up, eyes wide with joy, Ultra HD quality.;man;woman;A photo of <|man_1|> jumping up, eyes wide with joy.;A photo of <|woman_1|> jumping up, eyes wide with joy.
medium;action+expression;28;A photo of <|man_1|> and <|woman_1|> checking the time on their wristwatch, the man looking impatient while the woman looks surprised, Ultra HD quality.;man;woman;A photo of <|man_1|> checking the time on his wristwatch, looking impatient.;A photo of <|woman_1|> checking the time on her wristwatch, looks surprised.
medium;action+expression;29;A photo of <|man_1|> and <|woman_1|> checking the time on their wristwatch, with focused expressions, Ultra HD quality.;man;woman;A photo of <|man_1|> checking the time on his wristwatch, with focused expressions.;A photo of <|woman_1|> checking the time on her wristwatch, with focused expressions.
medium;action+expression;30;A photo of <|woman_1|> and <|man_1|> checking the time on their wristwatch, the woman looking frustrated while the man looks relaxed, Ultra HD quality.;woman;man;A photo of <|woman_1|> checking the time on her wristwatch, looking frustrated.;A photo of <|man_1|> checking the time on his wristwatch, looks relaxed.
medium;action+expression;31;A photo of <|woman_1|> and <|man_1|> checking the time on their wristwatch, looking slightly concerned, Ultra HD quality.;woman;man;A photo of <|woman_1|> checking the time on her wristwatch, looking slightly concerned.;A photo of <|man_1|> checking the time on his wristwatch, looking slightly concerned.
medium;action+expression;32;A photo of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, looking serious, Ultra HD quality.;woman;man;A photo of <|woman_1|> crossing her hands in front of her chest, looking serious.;A photo of <|man_1|> crossing his hands in front of his chest, looking serious.
medium;action+expression;33;A photo of <|woman_1|> and <|man_1|> crossing their hands in front of their chest, the woman looking thoughtful while the man looks skeptical, Ultra HD quality.;woman;man;A photo of <|woman_1|> crossing her hands in front of her chest, looking thoughtful.;A photo of <|man_1|> crossing his hands in front of his chest, looks skeptical.
medium;action+expression;34;A photo of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, the man looking confident while the woman looks unsure, Ultra HD quality.;man;woman;A photo of <|man_1|> crossing his hands in front of his chest, looking confident .;A photo of <|woman_1|> crossing her hands in front of her chest, looks unsure.
medium;action+expression;35;A photo of <|man_1|> and <|woman_1|> crossing their hands in front of their chest, both looking determined, Ultra HD quality.;man;woman;A photo of <|man_1|> crossing his hands in front of his chest, looking determined.;A photo of <|woman_1|> crossing her hands in front of her chest, looking determined.
